,Link,Nom,Detalls,Colors,Descompte
0,,,,,
1,https://www.nike.com/ca/t/air-max-270-shoes-KTc4BP/DX8957-100,Nike Air Max 270,Women's Shoes,1 Colour,29% off
2,https://www.nike.com/ca/t/air-vapormax-2021-flyknit-shoes-T96BrP/DM0025-101,Nike Air VaporMax 2021 Flyknit,Men's Shoes,1 Colour,39% off
3,https://www.nike.com/ca/t/air-max-270-shoe-dgLD5h/DM3048-100,Nike Air Max 270,Women's Shoe,1 Colour,29% off
4,https://www.nike.com/ca/t/air-jordan-11-cmft-low-shoes-BQn4zL/DV2629-001,Air Jordan 11 CMFT Low,Women's Shoes,1 Colour,39% off
5,https://www.nike.com/ca/t/air-jordan-11-cmft-low-shoes-T8FjZ8/CW0784-003,Air Jordan 11 CMFT Low,Men's Shoe,2 Colours,39% off
6,https://www.nike.com/ca/t/jordan-air-200e-shoes-kSbN3x/DH7381-163,Jordan Air 200E,Women's Shoes,2 Colours,39% off
7,https://www.nike.com/ca/t/sb-nyjah-free-2-skate-shoe-Xd3NXX/BV2078-100,Nike SB Nyjah Free 2,Skate Shoe,1 Colour,39% off
8,https://www.nike.com/ca/t/react-escape-run-2-road-running-shoes-qWZw1m/DO9480-600,Nike React Escape Run 2 Premium,Women's Road Running Shoes,1 Colour,39% off
9,https://www.nike.com/ca/t/phenom-elite-knit-running-trousers-B43fh0/CU5504-010,Nike Phenom Elite,Men's Knit Running Trousers,1 Colour,19% off
10,https://www.nike.com/ca/t/structure-24-road-running-shoes-QMJDnZ/DA8570-102,Nike Structure 24,Women's Road Running Shoes,2 Colours,39% off
11,https://www.nike.com/ca/t/air-jordan-xxxv-low-basketball-shoe-HF3Fch/DJ9805-190,Air Jordan XXXV Low,Basketball Shoe,1 Colour,34% off
12,https://www.nike.com/ca/t/react-escape-run-2-road-running-shoes-S2Lpkt/DJ9976-002,Nike React Escape Run 2,Women's Road Running Shoes,2 Colours,39% off
13,https://www.nike.com/ca/t/court-vision-mid-shoes-xzn9ZV/CD5466-001,Nike Court Vision Mid,Men's Shoes,1 Colour,19% off
14,https://www.nike.com/ca/t/react-infinity-run-flyknit-3-road-running-shoes-13PGmZ/DV2178-001,Nike React Infinity Run Flyknit 3,Women's Road Running Shoes,1 Colour,39% off
15,https://www.nike.com/ca/t/metcon-7-flyease-training-shoes-rvxbdG/DH3344-010,Nike Metcon 7 FlyEase,Training Shoes,1 Colour,39% off
16,https://www.nike.com/ca/t/zoomx-invincible-run-flyknit-2-road-running-shoes-2mBNwr/DC9993-100,Nike ZoomX Invincible Run Flyknit 2,Women's Road Running Shoes,5 Colours,37% off
17,https://www.nike.com/ca/t/jordan-6-rings-older-shoes-K41p0C/323419-602,Jordan 6 Rings,Older Kids' Shoes,1 Colour,39% off
18,https://www.nike.com/ca/t/air-max-excee-shoe-psfV5R/CD4165-016,Nike Air Max Excee,Men's Shoe,1 Colour,25% off
19,https://www.nike.com/ca/t/sportswear-swoosh-oversized-hoodie-9wtgLV/DM6201-010,Nike Sportswear Swoosh,Oversized Hoodie,2 Colours,19% off
20,https://www.nike.com/ca/t/downshifter-11-road-running-shoes-WT38BD/CW3411-402,Nike Downshifter 11,Men's Road Running Shoes,1 Colour,13% off
21,https://www.nike.com/ca/t/superrep-go-3-next-nature-flyknit-training-shoes-clwc8v/DH3394-005,Nike SuperRep Go 3 Next Nature Flyknit,Men's Training Shoes,2 Colours,39% off
22,https://www.nike.com/ca/t/sportswear-air-max-woven-cargo-trousers-9kwzK1/DO7240-013,Nike Sportswear Air Max,Men's Woven Cargo Trousers,1 Colour,39% off
23,https://www.nike.com/ca/t/nikecourt-legacy-canvas-shoes-NKB2ZP/CZ0294-100,NikeCourt Legacy Canvas,Women's Shoes,2 Colours,17% off
24,https://www.nike.com/ca/t/lahar-low-shoe-NSFKD0/DD0060-200,Nike Lahar Low,Women's Shoe,1 Colour,39% off
25,https://www.nike.com/ca/t/sportswear-hoodie-ZdmLJ0/DR4982-100,Nike Sportswear,Women's Hoodie (Plus Size),1 Colour,18% off
26,https://www.nike.com/ca/t/air-max-dawn-younger-shoes-SzzQTP/DC9318-005,Nike Air Max Dawn,Younger Kids' Shoes,2 Colours,14% off
27,https://www.nike.com/ca/t/air-max-genome-older-shoes-Tf2ZzC/CZ4652-104,Nike Air Max Genome,Older Kids' Shoes,2 Colours,39% off
28,https://www.nike.com/ca/t/renew-retaliation-tr-3-training-shoe-HJk3hS/DA1350-003,Nike Renew Retaliation TR 3,Men's Training Shoe,1 Colour,19% off
29,https://www.nike.com/ca/t/zoom-fly-4-road-running-shoes-5jTvrk/CT2392-004,Nike Zoom Fly 4,Men's Road Running Shoes,3 Colours,39% off
30,https://www.nike.com/ca/t/zoomx-vaporfly-next-2-road-racing-shoes-wttWqR/CU4123-501,Nike ZoomX Vaporfly Next% 2,Women's Road Racing Shoes,3 Colours,39% off
31,https://www.nike.com/ca/t/air-huarache-shoes-gQ5m5c/DX8968-001,Nike Air Huarache,Men's Shoes,1 Colour,39% off
32,https://www.nike.com/ca/t/crater-remixa-shoes-TVwbvv/DC6916-003,Nike Crater Remixa,Men's Shoes,1 Colour,25% off
33,https://www.nike.com/ca/t/space-hippie-04-shoes-h1tH5D/DA2725-002,Nike Space Hippie 04,Women's Shoes,2 Colours,39% off
34,https://www.nike.com/ca/t/air-max-impact-3-basketball-shoe-9GdsLL/DC3725-003,Nike Air Max Impact 3,Basketball Shoe,1 Colour,29% off
35,https://www.nike.com/ca/t/sportswear-sport-essential-fleece-hooded-tracksuit-S3TVvf/DM6838-410,Nike Sportswear Sport Essential,Men's Fleece Hooded Tracksuit,1 Colour,39% off
36,https://www.nike.com/ca/t/waffle-one-shoes-XNcD4g/DR7881-001,Nike Waffle One,Women's Shoes,1 Colour,39% off
37,https://www.nike.com/ca/launch/r/DM0059-010,Jordan x Off-White™,Men's Hoodie,1 Colour,33% off
38,https://www.nike.com/ca/t/blazer-low-platform-shoes-PZHDs3/DV6978-100,Nike Blazer Low Platform,Women's Shoes,1 Colour,29% off
39,https://www.nike.com/ca/t/air-brushed-back-fleece-pullover-hoodie-mz18Nk/DM5202-012,Nike Air,Men's Brushed-Back Fleece Pullover Hoodie,1 Colour,29% off
40,https://www.nike.com/ca/t/air-zoom-alphafly-next-flyknit-ekiden-road-racing-shoes-pBHBwG/DO2407-728,Nike Air Zoom Alphafly NEXT% Flyknit Ekiden,Road Racing Shoes,1 Colour,39% off
41,https://www.nike.com/ca/t/air-zoom-superrep-3-training-shoes-dvVWqp/DM0334-555,Nike Air Zoom SuperRep 3 Premium,Women's Training Shoes,1 Colour,39% off
42,https://www.nike.com/ca/t/invincible-run-2-road-running-shoes-PzhBZx/DH5425-300,Nike Invincible Run 2,Men's Road Running Shoes,5 Colours,29% off
43,https://www.nike.com/ca/t/air-max-95-shoes-HNp8Ft/DV3450-300,Nike Air Max 95,Women's Shoes,1 Colour,39% off
44,https://www.nike.com/ca/t/air-max-dawn-shoes-RpzFMR/DR7875-100,Nike Air Max Dawn,Women's Shoes,1 Colour,29% off
45,https://www.nike.com/ca/t/air-max-dawn-shoes-W855wd/DC4068-601,Nike Air Max Dawn,Women's Shoes,2 Colours,29% off
46,https://www.nike.com/ca/t/air-max-bella-tr-5-training-shoes-wFVzZP/DD9285-600,Nike Air Max Bella TR 5,Women's Training Shoes,2 Colours,24% off
47,https://www.nike.com/ca/t/jordan-series-5-shoes-81nvg8/DM3383-105,Jordan Series .05,Women's Shoes,2 Colours,19% off
48,https://www.nike.com/ca/t/waffle-trainer-2-shoes-ddGg8k/DH1349-001,Nike Waffle Trainer 2,Men's Shoes,2 Colours,25% off
49,https://www.nike.com/ca/t/crater-impact-se-shoes-91r7cR/DJ6308-100,Nike Crater Impact SE,Men's Shoes,2 Colours,39% off
50,https://www.nike.com/ca/t/waffle-one-shoe-clT9NL/DX2647-100,Nike Waffle One,Men's Shoe,1 Colour,39% off
51,https://www.nike.com/ca/t/sportswear-collection-essentials-trousers-fkSHw4/DQ0388-058,Nike Sportswear Collection Essentials,Women's Trousers,2 Colours,10% off
52,https://www.nike.com/ca/t/air-max-dawn-se-older-shoes-6J8w1N/DM0960-100,Nike Air Max Dawn SE,Older Kids' Shoes,1 Colour,39% off
53,https://www.nike.com/ca/t/repel-golf-jacket-lsLDTx/DH2089-451,Nike Repel,Women's Golf Jacket,1 Colour,39% off
54,https://www.nike.com/ca/t/waffle-one-se-shoe-S8B0Hn/DD8014-001,Nike Waffle One SE,Men's Shoe,1 Colour,45% off
55,https://www.nike.com/ca/t/jordan-super-play-slides-J9XJND/DM1683-601,Jordan Super Play,Men's Slides,1 Colour,17% off
